Detected configuration: Linux / .Net
[346] Vertex Count: 152, Index Count: 156, Meshing time: 1.7549ms
[347] Vertex Count: 4356, Index Count: 6144, Meshing time: 1.9995ms
[348] Vertex Count: 6972, Index Count: 9786, Meshing time: 2.3666ms
[349] Vertex Count: 8580, Index Count: 12288, Meshing time: 2.4466ms
[350] Vertex Count: 1672, Index Count: 2262, Meshing time: 3.785ms
[351] Vertex Count: 8040, Index Count: 11538, Meshing time: 4.0521ms
[352] Vertex Count: 756, Index Count: 942, Meshing time: 3.6907ms
[353] Vertex Count: 5092, Index Count: 7146, Meshing time: 4.0191ms
[354] Vertex Count: 5988, Index Count: 8484, Meshing time: 3.9357ms
[355] Vertex Count: 3756, Index Count: 5208, Meshing time: 3.8856ms
[356] Vertex Count: 176, Index Count: 186, Meshing time: 3.6988ms
[357] Vertex Count: 11620, Index Count: 16740, Meshing time: 4.1981ms
[358] Vertex Count: 8580, Index Count: 12288, Meshing time: 2.427ms
[359] Vertex Count: 7696, Index Count: 10974, Meshing time: 2.9479ms
[360] Vertex Count: 4356, Index Count: 6144, Meshing time: 2.0015ms
[361] Vertex Count: 5936, Index Count: 8424, Meshing time: 2.5879ms
[362] Vertex Count: 4356, Index Count: 6144, Meshing time: 1.9971ms
[363] Vertex Count: 8288, Index Count: 11814, Meshing time: 3.3481ms
[364] Vertex Count: 4948, Index Count: 6876, Meshing time: 2.0632ms
[365] Vertex Count: 9952, Index Count: 14028, Meshing time: 2.9831ms
[366] Vertex Count: 13372, Index Count: 19086, Meshing time: 3.9731ms
[367] Vertex Count: 11052, Index Count: 15522, Meshing time: 3.2431ms
[368] Vertex Count: 12080, Index Count: 17130, Meshing time: 3.3578ms
[369] Vertex Count: 10248, Index Count: 14400, Meshing time: 2.8597ms
[370] Vertex Count: 3464, Index Count: 4698, Meshing time: 3.8826ms
[371] Vertex Count: 6776, Index Count: 9540, Meshing time: 2.7608ms
[372] Vertex Count: 4356, Index Count: 6144, Meshing time: 2.9818ms
[373] Vertex Count: 3916, Index Count: 5430, Meshing time: 4.1428ms
[374] Vertex Count: 10132, Index Count: 14580, Meshing time: 3.8201ms
[375] Vertex Count: 24, Index Count: 12, Meshing time: 1.6725ms
[376] Vertex Count: 4356, Index Count: 6144, Meshing time: 2.4335ms
